,lower_court,count,first_case_num,cl_court_id,cl_court_name
237,"Court of Appeals of Ohio, Jefferson County",7,01-JE-16,,
399,"Superior Court of Arizona, Mohave County",6,s-8015-CR-0096000503,,
472,"Superior Court of New Hampshire, Rockingham County",6,01-C-0941,,
209,"Court of Appeals of Ohio, Ashtabula County",6,2002-A-0043,,
83,"Circuit Court of Michigan, Kent County",6,98-005663-FC,,
668,United States District Court for the Western District of Michigan,6,1:22-cv-54,miwd,"District Court, W.D. Michigan"
114,"Circuit Court of West Virginia, Berkeley County",6,08-F-159,,
669,United States District Court for the Western District of Missouri,6,2:11-cv-4060,mowd,"District Court, W.D. Missouri"
667,United States District Court for the Western District of Louisiana,6,3:24-cv-00122-DCJ-CES-RRS,lawd,"District Court, W.D. Louisiana"
453,"Superior Court of Georgia, Richmond County",6,1996-RCCR-971,,
26,"Appellate Division, Superior Court of California, Orange County",6,30-2021-01216615,,
215,"Court of Appeals of Ohio, Champaign County",6,2014-CA-29,,
216,"Court of Appeals of Ohio, Clark County",6,03-CA-0004,,
67,"Circuit Court of Maryland, Harford County",6,12-K-92-0088,,
87,"Circuit Court of Michigan, Muskegon County",6,96-139261-FC,,
522,"Superior Court of Washington, King County",6,04-2-06115-6SEA,,
241,"Court of Appeals of Ohio, Licking County",6,15-CA-98,,
445,"Superior Court of Georgia, Macon County",6,2001-416,,
248,"Court of Appeals of Ohio, Medina County",6,19CA0049-M,,
649,United States District Court for the Northern District of Illinois,6,1:04-cv-04698,ilnd,"District Court, N.D. Illinois"
124,"Circuit Court of West Virginia, Jefferson County",5,03-C-215,,
86,"Circuit Court of Michigan, Macomb County",5,2002-1036-AR,,
344,"District Court of Colorado, Denver County",5,02CV6970,,
82,"Circuit Court of Michigan, Kalamazoo County",5,17197-FC,,
129,"Circuit Court of West Virginia, Mercer County",5,03-F-08-S,,
640,United States District Court for the Middle District of Florida,5,3:10-cr-23,flmd,United States District Court for the Middle District of Florida
513,"Superior Court of North Carolina, Wake County",5,05-CRS-49161-49166,,
358,"District Court of Iowa, Woodbury County",5,AGCR107672,,
318,"Court of Common Pleas of South Carolina, Greenville County",5,2010-CP-23-9792,,
