id,parent_court_id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,jurisdiction_name,jurisdiction_type,jurisdiction_state,parent_court_full_name,parent_court_id,note
alsb,,20,1,all,,28,2020-07-28T06:14:10.737Z,TRUE,FALSE,FALSE,156.5,Bankr. S.D. Ala.,S.D. Alabama,"United States Bankruptcy Court, S.D. Alabama",http://www.alsb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Alabama,"District Court, S.D. Alabama",alsd,
akb,,22,1,all,,7-,2020-07-28T06:15:09.844Z,TRUE,FALSE,FALSE,157,Bankr. D. Alaska,D. Alaska,"United States Bankruptcy Court, D. Alaska",http://www.akb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Alaska,"District Court, D. Alaska",akd,
akb,,22,1,all,,7-,2020-07-28T06:15:09.844Z,TRUE,FALSE,FALSE,157,Bankr. D. Alaska,D. Alaska,"United States Bankruptcy Court, D. Alaska",http://www.akb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Alaska,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
arb,,24,1,all,,70,2020-07-28T06:16:18.086Z,TRUE,FALSE,FALSE,157.1,Bankr. D. Ariz.,D. Arizona,"United States Bankruptcy Court, D. Arizona",https://ecf.azb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Arizona,"District Court, D. Arizona",azd,
arb,,24,1,all,,70,2020-07-28T06:16:18.086Z,TRUE,FALSE,FALSE,157.1,Bankr. D. Ariz.,D. Arizona,"United States Bankruptcy Court, D. Arizona",https://ecf.azb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Arizona,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
areb,,26,1,all,,60,2020-07-28T06:15:11.638Z,TRUE,FALSE,FALSE,157.2,Bankr. E.D. Ark.,E.D. Arkansas,"United States Bankruptcy Court, E.D. Arkansas",http://www.arb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Arkansas,"District Court, E.D. Arkansas",ared,
areb,,26,1,all,,60,2020-07-28T06:15:11.638Z,TRUE,FALSE,FALSE,157.2,Bankr. E.D. Ark.,E.D. Arkansas,"United States Bankruptcy Court, E.D. Arkansas",http://www.arb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Arkansas,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
arwb,,28,1,all,,61,2020-07-28T06:15:10.545Z,TRUE,FALSE,FALSE,157.3,Bankr. W.D. Ark.,W.D. Arkansas,"United States Bankruptcy Court, W.D. Arkansas",http://www.arb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Arkansas,"District Court, W.D. Arkansas",arwd,
arwb,,28,1,all,,61,2020-07-28T06:15:10.545Z,TRUE,FALSE,FALSE,157.3,Bankr. W.D. Ark.,W.D. Arkansas,"United States Bankruptcy Court, W.D. Arkansas",http://www.arb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Arkansas,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
cacb,,973,1,"answer,appeal,cmp,court,motion,misc,nef,notice,order",,73,2020-07-28T06:15:24.925Z,TRUE,FALSE,FALSE,158,Bankr. C.D. Cal.,C.D. California,"United States Bankruptcy Court, C.D. California",http://www.cacb.uscourts.gov/,,,FB,"Lawbox

The pacer_case_id appears to be correct.",Federal Bankruptcy,Federal,California,"District Court, C.D. California",cacd,
