id,full_name,jurisdiction,jurisdiction_name,jurisdiction_type,jurisdiction_state,appeals_to_full_name,appeals_to_id,note
oknb,"United States Bankruptcy Court, N.D. Oklahoma",FB,Federal Bankruptcy,Federal,Oklahoma,"District Court, N.D. Oklahoma",oknd,
oknb,"United States Bankruptcy Court, N.D. Oklahoma",FB,Federal Bankruptcy,Federal,Oklahoma,Bankruptcy Appellate Panel of the Tenth Circuit,bap10,
okwb,"United States Bankruptcy Court, W.D. Oklahoma",FB,Federal Bankruptcy,Federal,Oklahoma,"District Court, W.D. Oklahoma",okwd,
okwb,"United States Bankruptcy Court, W.D. Oklahoma",FB,Federal Bankruptcy,Federal,Oklahoma,Bankruptcy Appellate Panel of the Tenth Circuit,bap10,
orb,"United States Bankruptcy Court, D. Oregon",FB,Federal Bankruptcy,Federal,Oregon,"District Court, D. Oregon",ord,
orb,"United States Bankruptcy Court, D. Oregon",FB,Federal Bankruptcy,Federal,Oregon,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
paeb,"United States Bankruptcy Court, E.D. Pennsylvania",FB,Federal Bankruptcy,Federal,Pennsylvania,"District Court, E.D. Pennsylvania",paed,
pamb,"United States Bankruptcy Court, M.D. Pennsylvania",FB,Federal Bankruptcy,Federal,Pennsylvania,"District Court, M.D. Pennsylvania",pamd,
pawb,"United States Bankruptcy Court, W.D. Pennsylvania",FB,Federal Bankruptcy,Federal,Pennsylvania,"District Court, W.D. Pennsylvania",pawd,
nhb,"United States Bankruptcy Court, D. New Hampshire",FB,Federal Bankruptcy,Federal,New Hampshire,Bankruptcy Appellate Panel of the First Circuit,bap1,
rib,"United States Bankruptcy Court, D. Rhode Island",FB,Federal Bankruptcy,Federal,Rhode Island,"District Court, D. Rhode Island",rid,
scb,"United States Bankruptcy Court, D. South Carolina",FB,Federal Bankruptcy,Federal,South Carolina,"District Court, D. South Carolina",scd,
sdb,"United States Bankruptcy Court, D. South Dakota",FB,Federal Bankruptcy,Federal,South Dakota,"District Court, D. South Dakota",sdd,
sdb,"United States Bankruptcy Court, D. South Dakota",FB,Federal Bankruptcy,Federal,South Dakota,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
tneb,"United States Bankruptcy Court, E.D. Tennessee",FB,Federal Bankruptcy,Federal,Tennessee,"District Court, E.D. Tennessee",tned,
tneb,"United States Bankruptcy Court, E.D. Tennessee",FB,Federal Bankruptcy,Federal,Tennessee,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
tnmb,"United States Bankruptcy Court, M.D. Tennessee",FB,Federal Bankruptcy,Federal,Tennessee,"District Court, M.D. Tennessee",tnmd,
tnmb,"United States Bankruptcy Court, M.D. Tennessee",FB,Federal Bankruptcy,Federal,Tennessee,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
tnwb,"United States Bankruptcy Court, W.D. Tennessee",FB,Federal Bankruptcy,Federal,Tennessee,"District Court, W.D. Tennessee",tnwd,
tnwb,"United States Bankruptcy Court, W.D. Tennessee",FB,Federal Bankruptcy,Federal,Tennessee,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
txeb,"United States Bankruptcy Court, E.D. Texas",FB,Federal Bankruptcy,Federal,Texas,"District Court, E.D. Texas",txed,
txnb,"United States Bankruptcy Court, N.D. Texas",FB,Federal Bankruptcy,Federal,Texas,"District Court, N.D. Texas",txnd,
txsb,"United States Bankruptcy Court, S.D. Texas",FB,Federal Bankruptcy,Federal,Texas,"District Court, S.D. Texas",txsd,
txwb,"United States Bankruptcy Court, W.D. Texas",FB,Federal Bankruptcy,Federal,Texas,"District Court, W.D. Texas",txwd,
utb,"United States Bankruptcy Court, D. Utah",FB,Federal Bankruptcy,Federal,Utah,"District Court, D. Utah",utd,
utb,"United States Bankruptcy Court, D. Utah",FB,Federal Bankruptcy,Federal,Utah,Bankruptcy Appellate Panel of the Tenth Circuit,bap10,
vtb,"United States Bankruptcy Court, D. Vermont",FB,Federal Bankruptcy,Federal,Vermont,"District Court, D. Vermont",vtd,
vaeb,"United States Bankruptcy Court, E.D. Virginia",FB,Federal Bankruptcy,Federal,Virginia,"District Court, E.D. Virginia",vaed,
