docket_number,type,case_name,court_ids,granted,argument_date,decided_date,result,term,metadata_docket_number,metadata_case_name,lower_court_citation,lower_court_docket_number
17-646,CFY,GAMBLE V. UNITED STATES,USCA-11,6/28/18,12/6/18,6/17/19,AFFIRMED,Oct-18,17-646,GAMBLE V. UNITED STATES,694 Fed Appx 750,16-16760
17-647,CFX,KNICK V. TOWNSHIP OF SCOTT,USCA-3,3/5/18,10/3/18,6/21/19,VACATED AND REMANDED,Oct-18,17-647,"KNICK V. SCOTT, PA",862 F.3d 310,16-3587
17-773,CFX,CULBERTSON V. BERRYHILL,USCA-11,5/21/18,11/7/18,1/8/19,REVERSED AND REMANDED,Oct-18,17-773,CULBERTSON V. BERRYHILL,861 F.3d 1197,16-14004
17-778,CFY,QUARLES V. UNITED STATES,USCA-6,1/11/19,4/24/19,6/10/19,AFFIRMED,Oct-18,17-778,QUARLES V. UNITED STATES,850 F. 3d 836,16-1690
17-949,CFX,STURGEON V. FROST,USCA-9,6/18/18,11/5/18,3/26/19,REVERSED AND REMANDED,Oct-18,17-949,STURGEON V. FROST,872 F.3d 927,13-36165
17-961,CFX,FRANK V. GAOS,USCA-9,4/30/18,10/31/18,3/20/19,VACATED AND REMANDED,Oct-18,17-961,FRANK V. GAOS,869 F.3d 737,15-15858
17-988,CFX,"LAMPS PLUS, INC. V. VARELA",USCA-9,4/30/18,10/29/18,4/24/19,REVERSED AND REMANDED,Oct-18,17-988,"LAMPS PLUS, INC. V. VARELA",701 F.Appx. 670,16-56085
17-1011,CFX,JAM V. INTERNATIONAL FINANCE CORP.,USCA-DC,5/21/18,10/31/18,2/27/19,REVERSED AND REMANDED (BK – no part),Oct-18,17-1011,JAM V. INTERNATIONAL FINANCE CORP.,860 F.3d 703,16-7051
17-1026,CSH,GARZA V. IDAHO,SC-ID,6/18/18,10/30/18,2/27/19,REVERSED AND REMANDED,Oct-18,17-1026,GARZA V. IDAHO,405 P.3d576,44991
17-1042,CFX,BNSF R. CO. V. LOOS,USCA-8,5/14/18,11/6/18,3/4/19,REVERSED AND REMANDED,Oct-18,17-1042,BNSF RAILWAY CO. V. LOOS,865 F.3d 1106,15-3355
17-1077,CFX,LORENZO V. SEC,USCA-DC,6/18/18,12/3/18,3/27/19,AFFIRMED (BK – no part),Oct-18,17-1077,LORENZO V. SECURITIES AND EXCHANGE COMMISSION,872 F3d 578,15-1202
17-1091,CSX,TIMBS V. INDIANA,SC-IN,6/18/18,11/28/18,2/20/19,VACATED AND REMANDED,Oct-18,17-1091,TIMBS V. INDIANA,84 N.E.3d 1179,27S04-1702-MI-70
17-1094,CFX,NUTRACEUTICAL CORP. V. LAMBERT,USCA-9,6/25/18,11/27/18,2/26/19,REVERSED AND REMANDED,Oct-18,17-1094,NUTRACEUTICAL CORP. V. LAMBERT,870 F.3d 1170,15-56423
17-1104,CFX,AIR AND LIQUID SYSTEMS CORP. V. DEVRIES,USCA-3,5/14/18,10/10/18,3/19/19,AFFIRMED,Oct-18,17-1104,AIR AND LIQUID SYSTEMS V. DEVRIES,873 F.3d 232,16-2602
17-1174,CFX,NIEVES V. BARTLETT,USCA-9,6/28/18,11/26/18,5/28/19,REVERSED AND REMANDED,Oct-18,17-1174,NIEVES V. BARTLETT,712 Fed.Appx. 613,16-35631
17-1184,CFX,BIESTEK V. BERRYHILL,USCA-6,6/25/18,12/4/18,4/1/19,AFFIRMED,Oct-18,17-1184,BIESTEK V. BERRYHILL,880 F.3d 778,17-1459
17-1201,CFX,THACKER V. TENNESSEE VALLEY AUTHORITY,USCA-11,9/27/18,1/14/19,4/29/19,REVERSED AND REMANDED,Oct-18,17-1201,THACKER V. TENNESSEE VALLEY AUTHORITY,868 F.3d 979,16-15105
17-1229,CFX,HELSINN HEALTHCARE S.A. V. TEVA PHARMACEUTICALS,USCA-Fed,6/25/18,12/4/18,1/22/19,AFFIRMED,Oct-18,17-1229,HELSINN HEALTHCARE V. TEVA PHARMACEUTICALS,855 F.3d 1356,2016-1284
17-1272,CFX,"HENRY SCHEIN, INC. V. ARCHER & WHITE SALES, INC.",USCA-5,6/25/18,10/29/18,1/8/19,VACATED AND REMANDED,Oct-18,17-1272,"HENRY SCHEIN, INC.  V. ARCHER AND WHITE SALES, INC.",878 F.3d 488,16-41674
17-1299,CSX,FRANCHISE TAX BD. OF CAL. V. HYATT,SC-NV,6/28/18,1/9/19,5/13/19,REVERSED AND REMANDED,Oct-18,17-1299,CA FRANCHISE TAX BOARD V. HYATT,407 P.3d 717,53264
17-1307,CFX,OBDUSKEY V. MCCARTHY & HOLTHUS LLP,USCA-10,6/28/18,1/7/19,3/20/19,AFFIRMED,Oct-18,17-1307,OBDUSKEY V. McCARTHY & HOLTHUS LLP,879 F.3d 1216,16-1330
17-1471,CFX,"HOME DEPOT U. S. A., INC. V. JACKSON",USCA-4,9/27/18,1/15/19,5/28/19,AFFIRMED,Oct-18,17-1471,"HOME DEPOT U.S.A., INC.  V. JACKSON",880 F.3d 165,17-1627
17-1484,CFX,AZAR V. ALLINA HEALTH SERVICES,USCA-DC,9/27/18,1/15/19,6/3/19,AFFIRMED (BK – no part),Oct-18,17-1484,"AZAR, SECRETARY OF HEALTH & HUMAN SERVICES V. ALLINA HEALTH",863 F.3d 937,16-5255
17-1594,CFX,"RETURN MAIL, INC. V. POSTAL SERVICE",USCA-Fed,10/26/18,2/19/19,6/10/19,REVERSED AND REMANDED,Oct-18,17-1594,"RETURN MAIL, INC. V. UNITED STATES POSTAL SERVICE",868 F3d 1350,2016-1502
17-1606,CFX,SMITH V. BERRYHILL,USCA-6,11/2/18,3/18/19,5/28/19,REVERSED AND REMANDED,Oct-18,17-1606,SMITH V. BERRYHILL,880 F.3d 813,17-5809
