docket_number,type,case_name,court_ids,granted,argument_date,decided_date,result,term,metadata_docket_number,metadata_case_name,lower_court_citation,lower_court_docket_number
"134, Orig.",,NEW JERSEY V. DELAWARE,,,11/27/07,3/31/08,New Jersey’s exceptions overruled; Sp. Master’s decree entered with      modifications  (SGB – no part),Oct-07,,,,
06-43,CFX,"STONERIDGE INVESTMENT V. SCIENTIFIC-ATLANTA, INC.",USCA-8,3/26/07,10/9/07,1/15/08,AFFIRMED AND REMANDED (SGB – no part),Oct-07,,,,
06-179,CFX,"RIEGEL V. MEDTRONIC, INC.",USCA-2,6/25/07,12/4/07,2/20/08,AFFIRMED,Oct-07,,,,
06-457,CFX,"ROWE, ATT’Y GEN. OF ME V. NH MOTOR TRANSPORT ASSN.",USCA-1,6/25/07,11/28/07,2/20/08,AFFIRMED,Oct-07,,,,
06-571,CFY,WATSON V. UNITED STATES,USCA-5,2/26/07,10/9/07,12/10/07,REVERSED AND REMANDED,Oct-07,,,,
06-637,CFX,BD. OF EDUCATION OF CITY OF NEW YORK V. TOM F.,USCA-2,2/26/07,10/1/07,10/10/07,AFFIRMED (AMK – no part),Oct-07,,,,
06-666,CSX,DEPT. OF REVENUE OF KY V. DAVIS,CA-KY,5/21/07,11/5/07,5/19/08,REVERSED AND REMANDED,Oct-07,,,,
06-694,CFY,UNITED STATES V. WILLIAMS,USCA-11,3/26/07,10/30/07,5/19/08,REVERSED,Oct-07,,,,
06-766,CFX,NY BD. OF ELECTIONS V. TORRES,USCA-2,2/20/07,10/3/07,1/16/08,REVERSED,Oct-07,,,,
06-856,CFX,"LARUE V. DEWOLFF, BOBERG & ASSOC., INC.",USCA-4,6/18/07,11/26/07,2/20/08,VACATED AND REMANDED,Oct-07,,,,
06-923,CFX,METROPOLITAN LIFE INS. CO. V. GLENN,USCA-6,1/18/08,4/23/08,6/19/08,AFFIRMED,Oct-07,,,,
06-937,CFX,"QUANTA COMPUTER, INC. V. LG ELECTRONICS, INC.",USCA-Fed,9/25/07,1/16/08,6/9/08,REVERSED,Oct-07,,,,
06-939,CFX,"CHAMBER OF COMMERCE V. BROWN, ATT’Y GEN. OF CA",USCA-9,11/20/07,3/19/08,6/19/08,REVERSED AND REMANDED,Oct-07,,,,
06-984,CSH,MEDELLIN V. TEXAS,"Crim. App., TX",4/30/07,10/10/07,3/25/08,AFFIRMED,Oct-07,,,,
06-989,CFX,"HALL STREET ASSOC. V. MATTEL, INC.",USCA-9,5/29/07,11/7/07,3/25/08,VACATED AND REMANDED,Oct-07,,,,
06-1005,CFH,UNITED STATES V. SANTOS,USCA-7,4/23/07,10/3/07,6/2/08,AFFIRMED,Oct-07,,,,
06-1037,CFX,KENTUCKY RETIREMENT SYS. V. EEOC,USCA-6,9/25/07,1/9/08,6/19/08,REVERSED,Oct-07,,,,
06-1082,CSY,VIRGINIA V. MOORE,SC-VA,9/25/07,1/14/08,4/23/08,REVERSED AND REMANDED,Oct-07,,,,
06-1164,CFX,JOHN R. SAND & GRAVEL CO. V. UNITED STATES,USCA-Fed,5/29/07,11/6/07,1/8/08,AFFIRMED,Oct-07,,,,
06-1181,CFX,"DADA V. MUKASEY, ATT’Y GEN.",USCA-5,9/25/07,1/7/08,6/16/08,REVERSED AND REMANDED,Oct-07,,,,
06-1204,CFX,PHILIPPINES V. PIMENTEL,USCA-9,12/3/07,3/17/08,6/12/08,REVERSED AND REMANDED,Oct-07,,,,
06-1221,CFX,SPRINT/UNITED MANAGEMENT CO. V. MENDELSOHN,USCA-10,6/11/07,12/3/07,2/26/08,VACATED AND REMANDED,Oct-07,,,,
06-1286,CFX,KNIGHT V. CIR,USCA-2,6/25/07,11/27/07,1/16/08,AFFIRMED,Oct-07,,,,
06-1287,CFX,"CSX TRANSPORTATION, INC.",USCA-11,5/29/07,11/5/07,12/4/07,REVERSED,Oct-07,,,,
06-1321,CFX,"GOMEZ-PEREZ V. POTTER, POSTMASTER GEN.",USCA-1,9/25/07,2/19/08,5/27/08,REVERSED AND REMANDED,Oct-07,,,,
06-1322,CFX,FEDERAL EXPRESS CORP. V. HOLOWECKI,USCA-2,6/4/07,11/6/07,2/27/08,AFFIRMED,Oct-07,,,,
06-1413,CSX,MEADWESTVACO CORP. V. IL DEPT. OF REVENUE,"App. Crt., IL-1 st Dist",9/25/07,1/16/08,4/15/08,VACATED AND REMANDED,Oct-07,,,,
06-1431,CFX,"CBOCS WEST, INC. V. HUMPHRIES",USCA-7,9/25/07,2/20/08,5/27/08,AFFIRMED,Oct-07,,,,
06-1456,CFY,CUELLAR V. UNITED STATES,USCA-5,10/15/07,2/25/08,6/2/08,REVERSED,Oct-07,,,,
06-1463,CSX,PRESTON V. FERRER,"CA-CA, 2 nd App. Dist",9/25/07,1/14/08,2/20/08,REVERSED AND REMANDED,Oct-07,,,,
06-1498,CFX,WARNER-LAMBERT CO. V. KENT,USCA-2,9/25/07,2/25/08,3/3/08,AFFIRMED (CJ – no part),Oct-07,,,,
06-1505,CFX,MEACHAM V. KNOLLS ATOMIC POWER LAB,USCA-2,1/18/08,4/23/08,6/19/08,VACATED AND REMANDED (SGB – no part),Oct-07,,,,
06-1509,CFY,BOULWARE V. UNITED STATES,USCA-9,9/25/07,1/8/08,3/3/08,VACATED AND REMANDED,Oct-07,,,,
06-1646,CFY,UNITED STATES V. RODRIQUEZ,USCA-9,9/25/07,1/15/08,5/19/08,REVERSED AND REMANDED,Oct-07,,,,
06-1717,CFX,"RICHLIN SECURITY SERVICE CO. V. CHERTOFF, SEC. OF HOMELAND SEC.",USCA-Fed,11/13/07,3/19/08,6/2/08,REVERSED AND REMANDED,Oct-07,,,,
06-6330,CFY,KIMBROUGH V. UNITED STATES,USCA-4,6/11/07,10/2/07,12/10/07,REVERSED AND REMANDED,Oct-07,,,,
06-6911,CFY,LOGAN V. UNITED STATES,USCA-7,2/20/07,10/30/07,12/4/07,AFFIRMED,Oct-07,,,,
06-7517,CFY,IRIZARRY V. UNITED STATES,USCA-11,1/4/08,4/15/08,6/12/08,AFFIRMED,Oct-07,,,,
06-7949,CFY,GALL V. UNITED STATES,USCA-8,6/11/07,10/2/07,12/10/07,REVERSED,Oct-07,,,,
06-8273,CSH,DANFORTH V. MINNESOTA,SC-MN,5/21/07,10/31/07,2/20/08,REVERSED AND REMANDED,Oct-07,,,,
06-9130,CFX,ALI V. FED. BUREAU OF PRISONS,USCA-11,5/29/07,10/29/07,1/22/08,AFFIRMED,Oct-07,,,,
10119,CSY,SNYDER V. LOUISIANA,SC-LA,6/25/07,12/4/07,3/19/08,REVERSED AND REMANDED,Oct-07,,,,
11429,CFY,BURGESS V. UNITED STATES,USCA-4,12/7/07,3/24/08,4/16/08,AFFIRMED,Oct-07,,,,
11543,CFY,BEGAY V. UNITED STATES,USCA-10,9/25/07,1/15/08,4/16/08,REVERSED AND REMANDED,Oct-07,,,,
11612,CFY,GONZALEZ V. UNITED STATES,USCA-5,9/25/07,1/8/08,5/12/08,AFFIRMED,Oct-07,,,,
07-208,CSY,INDIANA V. EDWARDS,SC-IN,12/7/07,3/26/08,6/19/08,VACATED AND REMANDED,Oct-07,,,,
07-210,CFX,BRIDGE V. PHOENIX BOND & INDEMNITY CO.,USCA-7,1/4/08,4/14/08,6/9/08,AFFIRMED,Oct-07,,,,
07-214,CFX,ALLISON ENGINE CO. V. UNITED STATES,USCA-6,10/29/07,2/26/08,6/9/08,VACATED AND REMANDED,Oct-07,,,,
07-219,CFX,EXXON SHIPPING CO. V. BAKER,USCA-9,10/29/07,2/27/08,6/25/08,VACATED AND REMANDED (SAA – no part),Oct-07,,,,
07-290,CFX,DISTRICT OF COLUMBIA V. HELLER,USCA-DC,11/20/07,3/18/08,6/26/08,AFFIRMED,Oct-07,,,,
07-308,CFX,UNITED STATES V. CLINTWOOD ELKHORN MINING,USCA-Fed,12/3/07,3/24/08,4/15/08,REVERSED,Oct-07,,,,
07-312,CFX,"FL DEPT. OF REVENUE V. PICCADILLY CAFETERIAS, INC.",USCA-11,12/7/07,3/26/08,6/16/08,REVERSED AND REMANDED,Oct-07,,,,
07-330,CFY,GREENLAW V. UNITED STATES,USCA-8,1/4/08,4/15/08,6/23/08,VACATED AND REMANDED,Oct-07,,,,
07-343,CSY,KENNEDY V. LOUISIANA,SC-LA,1/4/08,4/16/08,6/25/08,REVERSED AND REMANDED,Oct-07,,,,
07-371,CFX,"TAYLOR V. STURGELL, ACT. ADM’R, FAA",USCA-DC,1/11/08,4/16/08,6/12/08,VACATED AND REMANDED,Oct-07,,,,
07-411,CFX,PLAINS COMMERCE BANK V.,USCA-8,1/4/08,4/14/08,6/25/08,REVERSED,Oct-07,,,,
07-440,CFX,"ROTHGERY V. GILLESPIE COUNTY, TX",USCA-5,12/3/07,3/17/08,6/23/08,VACATED AND REMANDED,Oct-07,,,,
07-455,CFY,UNITED STATES V. RESSAM,USCA-9,12/7/07,3/25/08,5/19/08,REVERSED,Oct-07,,,,
07-474,CFX,ENGQUIST V. OR DEPT. OF AGRICULTURE,USCA-9,1/11/08,4/21/08,6/9/08,AFFIRMED,Oct-07,,,,
07-552,CFX,SPRINT COMMUNICATIONS CO. V. APCC SERVICES,USCA-DC,1/4/08,4/21/08,6/23/08,AFFIRMED,Oct-07,,,,
07-5439,CSX,"BAZE V. REES, COMM’R, KY DOC",SC-KY,9/25/07,1/7/08,4/16/08,AFFIRMED,Oct-07,,,,
07-6053,CSY,GILES V. CALIFORNIA,SC-CA,1/11/08,4/22/08,6/25/08,VACATED AND REMANDED,Oct-07,,,,
06-1346,CFH,ALI V. ACHIM,USCA-7,9/25/07,,,DISMISSED – Rule 46,Oct-07,,,,
06-1265,CFX,"KLEIN & CO. FUTURES, INC. V. BD. OF TRADE OF CITY OF NY",USCA-2,5/21/07,10/29/07,,DISMISSED – Rule 46,Oct-07,,,,
07-77,ATX,"RILEY, GOV. OF AL V. KENNEDY",USDC-Middle Dist. AL,,3/24/08,5/27/08,REVERSED AND REMANDED,Oct-07,,,,
07-110,CFH,ARAVE V. HOFFMAN,USCA-9,11/5/07,,1/7/08,VACATED AND REMANDED,Oct-07,,,,
07-320,ATX,DAVIS V. FEC,USDC-DC,,4/22/08,6/26/08,REVERSED AND REMANDED,Oct-07,,,,
07-480,CFX,"HUBER V. WAL-MART STORES, INC.",USCA-8,12/7/07,,,DISMISSED – Rule 46,Oct-07,,,,
06-1249,CSX,WYETH V. LEVINE,SC-VT,1/18/08,12/1/08,3/9/09,EXCEPTION OVERRULED  Decided: 3/9/09,Oct-08,,,,
07-512,CFX,PACIFIC BELL TELEPHONE CO. V. LINKLINE COMMUNICATIONS,USCA-9,6/23/08,12/8/08,2/25/09,REVERSED AND REMANDED,Oct-08,,,,
07-562,CFX,ALTRIA GROUP V. GOOD,USCA-1,1/18/08,10/6/08,12/15/08,AFFIRMED AND REMANDED,Oct-08,,,,
07-610,CFX,LOCKE V. KARASS,USCA-1,2/19/08,10/6/08,1/21/09,AFFIRMED,Oct-08,,,,
07-772,CFH,"WADDINGTON, SUPT., WA V. SARAUSAD",USCA-9,3/17/08,10/15/08,1/21/09,REVERSED AND REMANDED,Oct-08,,,,
07-1015,CFX,"ASHCROFT, FORMER ATT’Y GEN. V. IQBAL",USCA-2 Grant: 6/16/08,6/16/08,12/10/08,5/18/09,REVERSED AND REMANDED  07-1059)*  07-1078)*  CFX  CFX  UNITED STATES V. EURODIF S. A.  USEC INC. V. EURODIF S. A.  Court: USCA-Fed.     Argument Date: 11/4/08,Oct-08,,,,
07-1209,CFX,"SHINSEKI, SEC. OF VA V. SANDERS",USCA-Fed. Grant: 6/16/08,6/16/08,12/8/08,4/21/09,Shinseki v. Sanders is REVERSED AND REMANDED; and  Shinseki v. Simmons is VACATED AND REMANDED  07-1216 CSX PHILIP MORRIS USA INC. V. WILLIAMS  Court: SC-OR Grant: 6/9/08     Argument Date: 12/3/08  Decided: 3/31/09,Oct-08,,,,
07-1356,CSY,KANSAS V. VENTRIS,SC-KS,10/1/08,1/21/09,4/29/09,REVERSED AND REMANDED,Oct-08,,,,
07-6984,CFH,"JIMENEZ V. QUARTERMAN, DIR., TX DOC",USCA-9 Grant: 10/1/08,10/1/08,2/24/09,5/4/09,"REVERSED AND REMANDED  07-6984* CFH JIMENEZ V. QUARTERMAN, DIR., TX DOC  Court: USCA-5 Grant: 3/17/08     Argument Date: 11/4/08  Decided: 1/13/09",Oct-08,,,,
10441,CFY,CORLEY V. UNITED STATES,USCA-3,10/1/08,1/21/09,4/6/09,VACATED AND REMANDED  Grant: 10/1/08  Decided: 4/6/09,Oct-08,,,,
08-146,CFX,ARTHUR ANDERSEN LLP V. CARLISLE,USCA-6,11/7/08,3/3/09,5/4/09,REVERSED AND REMANDED,Oct-08,,,,
08-305,CFX,FOREST GROVE SCHOOL DISTRICT V. T. A.,USCA-9,1/16/09,4/28/09,6/22/09,AFFIRMED,Oct-08,,,,
08-495,CFX,"NIJHAWAN V. HOLDER, ATT’Y GEN.",USCA-3,1/16/09,4/27/09,6/15/09,AFFIRMED  Grant: 1/16/09  Decided: 6/15/09  08-598* CFH BOBBY V. BIES  Court: USCA-6     Argument Date: 4/27/09,Oct-08,,,,
08-205,ATX,CITIZENS UNITED V. FEC,USDC-DC Noted: 11/14/08,,3/24/09,,,Oct-08,,,,
"132, Orig.",,ALABAMA V. NORTH CAROLINA,SC-VA,6/29/09,1/11/10,6/1/10,EXCEPTIONS OVERRULED    Decided: 6/1/10,Oct-09,,,,
08-351,CFX,ALVAREZ V. SMITH,USCA-7,2/23/09,10/14/09,12/8/09,"VACATED AND REMANDED  08-472 CFX SALAZAR, SEC. OF INTERIOR V. BUONO     Court: USCA-9    Granted: 2/23/09     Argument Date: 10/7/09   Decided: 4/28/10",Oct-09,,,,
08-651,CSH,PADILLA V. KENTUCKY,SC-KY,2/23/09,10/13/09,3/31/10,REVERSED AND REMANDED      Granted: 2/23/09  Decided: 3/31/10,Oct-09,,,,
08-769,CFY,UNITED STATES V. STEVENS,USCA-3,4/20/09,10/6/09,4/20/10,AFFIRMED  08-810 CFX CONKRIGHT V. FROMMERT  Court: USCA-2 Granted: 6/29/09     Argument Date: 1/20/10   Decided: 4/21/10,Oct-09,,,,
08-964,CFX,BILSKI V. KAPPOS,USCA-Fed,6/1/09,11/9/09,6/28/10,"AFFIRMED  08-969 CFX HEMI GROUP, LLC V. CITY OF NEW YORK, NY  Court: USCA-2 Granted: 5/4/09     Argument Date: 11/3/09   Decided: 1/25/10",Oct-09,,,,
08-1008,CFX,SHADY GROVE ORTHOPEDIC ASSOC. V. ALLSTATE INSURANCE CO.,USCA-2,5/4/09,11/2/09,3/31/10,REVERSED AND REMANDED  08-1107* CFX HERTZ CORP. V. FRIEND     Court: USCA-9     Argument Date: 11/10/09,Oct-09,,,,
08-1191,CFX,MORRISON V. NATIONAL AUSTRALIA BANK LTD.,USCA-2 Granted: 11/30/09 (SS – no part),11/30/09,3/29/10,6/24/10,AFFIRMED (SS – no part)  08-1196 CFY WEYHRAUCH V. UNITED STATES     Court: USCA-9     Argument Date: 12/8/09,Oct-09,,,,
08-1301,CFY,CARR V. UNITED STATES,USCA-7,9/30/09,2/24/10,6/1/10,REVERSED AND REMANDED  Granted: 9/30/09    Decided: 6/1/10,Oct-09,,,,
08-1402,CFH,"BERGHUIS, WARDEN V. SMITH",USCA-6 Granted: 9/30/09,9/30/09,1/20/10,3/30/10,"REVERSED AND REMANDED  08-1457 CFX NEW PROCESS STEEL, L.P. V. NATIONAL LABOR RELATIONS BOARD     Court: USCA-7    Granted: 11/2/09     Argument Date: 3/23/10   Decided: 6/17/10",Oct-09,,,,
08-1555,CFX,SAMANTAR V. YOUSUF,USCA-9,10/20/09,3/24/10,6/21/10,REVERSED AND REMANDED  08-1555# CFX SAMANTAR V. YOUSUF     Court: USCA-4     Argument Date: 3/3/10,Oct-09,,,,
09-60,CFX,"CARACHURI-ROSENDO V. HOLDER, ATT’Y GEN.",USCA-5,12/14/09,3/31/10,6/14/10,"REVERSED  09-158 CFH MAGWOOD V. PATTERSON, WARDEN     Court: USCA-11    Granted: 11/16/09     Argument Date: 3/24/10   Decided: 6/24/10",Oct-09,,,,
09-448,CFX,HARDT V. RELIANCE STANDARD LIFE INS.,USCA-4 Granted: 1/15/10,1/15/10,4/26/10,5/24/10,REVERSED AND REMANDED  09-475 CFX MONSANTO CO. V. GEERTSON SEED FARMS  Court: USCA-9 Granted: 1/15/10 (SB – no part)     Argument Date: 4/27/10   Decided: 6/21/10,Oct-09,,,,
09-6338,CFY,DILLON V. UNITED STATES,USCA-3,12/7/09,3/30/10,6/17/10,AFFIRMED (SAA – no part)     Granted: 12/7/09    Decided: 6/17/10,Oct-09,,,,
08-6261,CSX,"ROBERTSON V. UNITED STATES, EX REL. WATSON",CA-DC,12/14/09,3/31/10,5/24/10,"DISMISSED AS IMPROVIDENTLY GRANTED  08-7621 CSH SULLIVAN V. FLORIDA  Court: DC of App. FL, 1st Dist. Granted: 5/4/09     Argument Date: 11/9/09   Decided: 5/17/10     A uthor: Per Curiam    R esult: DISMISSED AS IMPROVIDENTLY GRANTED  09-38 CFX HEALTH CARE SERVICE V. POLLITT     Court: USCA-7    Granted: 10/13/09     Order Date: 2/24/10     R esult: DISMISSED – Rule 46  No. of Cases made available for Argument (Hours): 85 (80) + 1 (1) reargument in 08-205  No. of Cases Argued (Hours): 81 (77) + 1 (1) reargument in 08-205  No. of Cases Disposed of (Hours): 86 (81)  WITH ARGUMENT:   Signed Opinion/Judgment – 77 (73) Per Curiam –4(4) Dismissed – 1 (1)  WITHOUT ARGUMENT:   Signed Opinion/Judgment - Per Curiam – 2 (2) Dismissed – 2 (1)  14 NOTE:   *Unanimous Court/ **Unanimous Court in Part/ #Unanimous in Judgment",Oct-09,,,,
2009,CASE,CODE KEY,,,,,,Oct-09,,,,
"137, Orig.",,MONTANA V. WYOMING AND NORTH DAKOTA,"CA-CA, 4 th App. Dist., Div. 3 Granted: 5/24/10",5/24/10,1/10/11,5/2/11,"Exception Overruled (EK – no part)  08-1314# CSX WILLIAMSON V. MAZDA MOTOR OF AMERICA, INC.  Court: CA-CA, 4 th App. Dist., Div. 3 Granted: 5/24/10  Argument Date: 11/3/10 (EK – out) Decided: 2/23/11",Oct-10,,,,
09-150,CSY,MICHIGAN V. BRYANT,SC-MI,3/1/10,10/5/10,2/28/11,VACATED AND REMANDED (EK – no part)  09-152 CFX BRUESEWITZ V. WYETH LLC.    Court: USCA-3    Granted: 3/8/10  Argument Date: 10/12/10 (EK – out) Decided: 2/22/11,Oct-10,,,,
09-520,CFX,"CSX TRANSPORTATION, INC. V. AL DEPT. OF REVENUE",USCA-11 Granted: 6/14/10,1/25/10,10/4/10,11/15/10,"AFFIRMED (EK – no part)     Granted: 1/25/10  Decided: 11/15/10  09-520 CFX CSX TRANSPORTATION, INC. V. AL DEPT. OF REVENUE  Court: USCA-11 Granted: 6/14/10     Argument Date: 11/10/10   Decided: 2/22/11",Oct-10,,,,
09-587,CFH,"HARRINGTON, WARDEN V. RICHTER",USCA-9,2/22/10,10/12/10,1/19/11,"REVERSED AND REMANDED (EK – no part)  09-658# CFH PREMO, SUPT., OR V. MOORE     Court: USCA-9    Granted: 3/22/10  Argument Date: 10/12/10 (EK – out) Decided: 1/19/11",Oct-10,,,,
09-846,CFX,UNITED STATES V. TOHONO O’ODHAM NATION,USAC-Fed Granted: 4/19/10,4/19/10,11/1/10,4/26/11,"REVERSED AND REMANDED (EK – no part)  09-868**# CFH WALL, DIR., RI DOC V. KHOLI  Court: USCA-1     Argument Date: 11/29/10",Oct-10,,,,
09-996,CFH,"WALKER, WARDEN V. MARTIN",USCA-9,6/21/10,11/29/10,2/23/11,"REVERSED     Granted: 6/21/10    Decided: 2/23/11  09-1036* CFX HENDERSON V. SHINSEKI, SEC. OF VA  Court: USCA-Fed Granted: 6/28/10  Argument Date: 12/6/10 (EK – out) Decided: 3/1/11",Oct-10,,,,
09-1227,CFY,BOND V. UNITED STATES,USCA-3,10/12/10,2/22/11,6/16/11,REVERSED AND REMANDED     Granted: 10/12/10    Decided: 6/16/11,Oct-10,,,,
09-1476,CFX,"DURYEA, PA V. GUARNIERI",USCA-9,10/12/10,3/1/11,5/26/11,"VACATED IN PART AND REMANDED  09-1476 CFX DURYEA, PA V. GUARNIERI  Court: USCA-3     Argument Date: 3/22/11",Oct-10,,,,
09-9000,CFX,SKINNER V. SWITZER,USCA-5,5/24/10,10/13/10,3/7/11,REVERSED AND REMANDED     Granted: 5/24/10    Decided: 3/7/11,Oct-10,,,,
10-10,CSX,TURNER V. ROGERS,SC–SC Granted: 11/1/10,11/1/10,3/23/11,6/20/11,"VACATED AND REMANDED  10-76* CSX GOODYEAR DUNLOP TIRES OPERATIONS, S.A. V. BROWN    Court: CA–NC    Granted: 9/28/10     Argument Date: 1/11/11   Decided: 6/27/11",Oct-10,,,,
10-235,CFX,"CSX TRANSPORTATION, INC. V. MCBRIDE",USCA-7,11/29/10,3/28/11,6/23/11,AFFIRMED  10-238)  10-239)  CFX  CFX  AZ FREE ENTERPRISE V. BENNETT  MCCOMISH V. BENNETT     Court: USCA-9    Granted: 11/29/10     Argument Date: 3/28/11   Decided: 6/27/11,Oct-10,,,,
10-779,CFX,"SORRELL, ATT’Y GEN. OF VERMONT V. IMS HEALTH INC.",USCA-2 Granted: 1/7/11,1/7/11,4/26/11,6/23/11,"REVERSED AND REMANDED  10-779 CFX SORRELL, ATT’Y GEN. OF VERMONT V. IMS HEALTH INC.  Court: USCA-2 Granted: 1/7/11     Argument Date: 4/26/11   Decided: 6/23/11",Oct-10,,,,
10-72,CFX,"MADISON COUNTY, NY V. ONEIDA INDIAN NATION OF NY",USCA-2 Granted: 10/12/10 (SS – no part),10/12/10,,1/10/11,VACATED AND REMANDED  No. of Cases made available for Argument (Hours): 87 (79)  No. of Cases Argued (Hours): 86 (78)   No. of Cases (Hours) Disposed of: 87 (79)  WITH ARGUMENT:   Signed Opinion/Judgment – 83 (75) Per Curiam – 3 (3) Dismissed –  WITHOUT ARGUMENT:   Signed Opinion/Judgment - Per Curiam – 1 (1) Dismissed –  CASE CODE KEY   First Letter = Jurisdictional  Grounds  (ex. 99-804 CFY)  C - Certiorari  A - Appeal  Q - Certified Question   Second Letter =  Court Below (ex. 99-804  CFY)  S - State  F - U.S. Court of Appeals  T - Three-Judge District Court  M - U.S. Court of Appeals for the Armed Forces  O - Other Court   Third Letter  = Nature of Case  (ex. 99-804  CF Y)  X - Civil  Y  - Criminal  H - Habeas Corpus or other collateral attack  13  NOTE:   *Unanimous Court/ **Unanimous Court in Part/ #Unanimous in Judgment,Oct-10,,,,
10-63,CFH,"MAPLES V. THOMAS, COMMISSIONER, AL DOC",USCA-9 Granted: 1/18/11,1/18/11,10/3/11,2/22/12,"VACATED AND REMANDED  10-63 CFH MAPLES V. THOMAS, COMMISSIONER, AL DOC  Court: USCA-11 Granted: 3/21/11     Argument Date: 10/4/11   Decided: 1/18/12",Oct-11,,,,
10-507,CFX,PACIFIC OPERATORS OFFSHORE V. VALLADOLID,USCA-9,2/22/11,10/11/11,1/11/12,"AFFIRMED AND REMANDED  10-545 CFX GOLAN V. HOLDER, ATT’Y GEN.  Court: USCA-10 Granted: 3/7/11 (EK – no part)     Argument Date: 10/5/11   Decided: 1/18/12",Oct-11,,,,
10-699,CFX,ZIVOTOFSKY,USCA-DC,5/2/11,11/7/11,3/26/12,VACATED AND REMANDED  10-704 CFX MESSERSCHMIDT V. MILLENDER  Court: USCA-9 Granted: 6/27/11     Argument Date: 12/5/11   Decided: 2/22/12,Oct-11,,,,
10-945,CFX,FLORENCE V. BD. OF CHOSEN FREEHOLDERS,USCA-3 Granted: 4/4/11,4/4/11,10/12/11,4/2/12,AFFIRMED  10-948 CFX COMPUCREDIT CORP. V. GREENWOOD  Court: USCA-9 Granted: 5/2/11     Argument Date: 10/11/11   Decided: 1/10/12,Oct-11,,,,
10-1062,CFX,SACKETT V. ENVIRONMENTAL PROTECTION AGENCY,USCA-9,6/28/11,1/9/12,3/21/12,REVERSED AND REMANDED  10-1104 CFX MINNECI V. POLLARD     Court: USCA-9     Argument Date: 11/1/11,Oct-11,,,,
10-1259,CFY,UNITED STATES V. JONES,USCA-DC,6/27/11,11/8/11,1/23/12,AFFIRMED     Granted: 6/27/11    Decided: 1/23/12,Oct-11,,,,
10-6549,CFY,REYNOLDS V. UNITED STATES,USCA-9,9/27/11,1/18/12,6/21/12,REVERSED AND REMANDED  Granted: 9/27/11    Decided: 6/21/12  10-6549 CFY REYNOLDS V. UNITED STATES     Court: USCA-3     Argument Date: 10/3/11,Oct-11,,,,
10-9646,CSY,MILLER V. ALABAMA,"Crim. App., AL",11/7/11,3/20/12,6/25/12,REVERSED AND REMANDED     Granted: 9/27/11    Decided: 4/24/12,Oct-11,,,,
11-159,CFX,"ASTRUE, COMM’R, SOCIAL SEC. V. CAPATO",USCA-3,11/14/11,3/19/12,5/21/12,"REVERSED AND REMANDED  11-161 CSX ARMOUR V. CITY OF INDIANAPOLIS, IN     Court: SC-IN     Granted: 11/14/11     Argument Date: 2/29/12   Decided: 6/4/12",Oct-11,,,,
11-262,CFX,REICHLE V. HOWARDS,USCA-DC,12/12/11,4/24/12,6/18/12,AFFIRMED AND REMANDED  11-262# CFX REICHLE V. HOWARDS  Court: USCA-10 Granted: 12/5/11 (EK – no part)     Argument Date: 3/21/12   Decided: 6/4/12,Oct-11,,,,
11-551,CFX,"SALAZAR, SEC. OF INTERIOR V. RAMAH NAVAJO CHAPTER",USCA-10 Granted: 1/6/12,1/6/12,4/18/12,6/18/12,AFFIRMED  11-5683)  11-5721)  CFY  CFY  DORSEY V. UNITED STATES  HILL V. UNITED STATES  Court: USCA-7     Argument Date: 4/17/12,Oct-11,,,,
10-1032,CFX,MAGNER V. GALLAGHER,USCA-8 Granted: 11/7/11,11/7/11,2/29/12,,DISMISSED – Rule 46  10-1491 CFX KIOBEL V. ROYAL DUTCH PETROLEUM CO.     Court: USCA-2    Granted: 10/17/11     Argument Date: 2/28/12  Order Date:  3/5/12 – restored to calendar for reargument  No. of Cases made available for Argument (Hours): 82 (76)  No. of Cases Argued (Hours): 79 (74) (Health Care cases counted as 4 cases/5 hours)   No. of Cases Disposed of (Hours): 78 (75)  (NOTE: 10-1491 was argued and then set for reargument)   WITH ARGUMENT:   Signed Opinion/Judgment – 73 (70) Per Curiam – 3 (1) Dismissed – 2 (2)  WITHOUT ARGUMENT:   Signed Opinion/Judgment - Per Curiam – Dismissed – 2 (2)  CASE CODE KEY   First Letter = Jurisdictional  Grounds  (ex. 99-804 CFY)  C - Certiorari  A - Appeal  Q - Certified Question   Second Letter =  Court Below (ex. 99-804  CFY)  S - State  F - U.S. Court of Appeals  T - Three-Judge District Court  M - U.S. Court of Appeals for the Armed Forces  O - Other Court   Third Letter  = Nature of Case  (ex. 99-804  CF Y)  X - Civil  Y  - Criminal  H - Habeas Corpus or other collateral attack  12   NOTE:   *Unanimous Court/ **Unanimous Court in Part/ #Unanimous in Judgment,Oct-11,,,,
10-930,CFX,"RYAN, DIR., AZ DOC V. GONZALES",USCA-9,3/19/12,10/9/12,12/10/12,"REVERSED (opinion combined with No. 11-218)  11-184* CFX KLOECKNER V. SOLIS, SEC. OF LABOR  Court: USCA-8 Granted: 1/13/12     Argument Date: 10/2/12   Decided: 12/10/12",Oct-12,,,,
11-460,CFX,LOS ANGELES CTY. FLOOD CONTROL V. NATURAL RESOURCES,USCA-9 Granted: 6/25/12,6/25/12,12/4/12,1/8/13,"REVERSED AND REMANDED  11-465# CFH JOHNSON, ACTING WARDEN V. WILLIAMS  Court: USCA-9 Granted: 1/13/12     Argument Date: 10/3/12   Decided: 2/20/13",Oct-12,,,,
