cited_cluster_id,citing_cluster_id,citing_court_id
85272,3562700,mont
85272,1891325,pawd
85272,223249,ca11
85272,1477431,ca5
85272,1809130,ala
85272,1480704,casd
85272,1792424,dcd
85272,3562715,mont
85272,1902579,ksd
85272,1816754,la
85272,1281598,wis
85272,1905033,insd
85272,1408376,ariz
85272,703898,ca4
85272,1415731,nmd
85272,2669013,ca6
85272,663072,cadc
85272,1814665,flmd
85272,2200759,wvnb
85272,2193593,flsb
85272,1762621,alsd
85272,2166344,mdctspecapp
85272,1198240,wash
85272,1480964,ca5
85272,1500236,ca9
85272,1484221,mo
85272,1483932,ca5
85272,1502598,ca8
85272,1025899,ca4
85272,1481049,cand
85272,1898529,mad
85272,1505628,ilnd
85272,931122,scotus
85272,1369850,lamd
85272,932059,scotus
85272,931124,scotus
85272,785836,ca9
85272,1502912,dcd
85272,2172004,mich
85272,2302642,calctapp
85272,320545,ca3
85272,3555096,mo
85272,711047,ca5
85272,2006016,scd
85272,794216,ca8
85272,2702061,ohioctapp
85272,4873895,ca9
85272,1491906,ca7
85272,1998496,indtc
85272,931614,scotus
85272,1487169,ca8
85272,691050,ca5
85272,2006185,mich
85272,244449,ca9
85272,1477268,ca10
85272,2285070,vawd
85272,1542839,ca5
85272,1487949,ca3
85272,1542861,ca5
85272,3558652,mo
85272,1867474,hid
85272,1563988,ca4
85272,1422593,pamd
85272,863442,miss
85272,1448200,nced
85272,1493625,ca3
85272,712972,ca8
85272,2196981,indtc
85272,1768207,kyctapp
85272,945737,scotus
85272,1882266,mnd
85272,2347068,casd
85272,1448196,txsd
85272,1426501,scd
85272,789445,ca9
85272,2455526,ctd
85272,2239455,dcd
85272,2006897,kyctapp
85272,1302669,wash
85272,2708684,ca7
85272,3560271,moag
85272,1023523,ca4
85272,2000051,md
85272,2347079,casd
85272,1897755,miss
85272,1811044,dcd
85272,1417509,mssd
85272,1546544,cc
85272,2007101,ned
85272,2581757,wash
85272,2404970,dc
85272,1492241,mdd
85272,718641,ca7
85272,1886724,la
85272,1375305,tnmd
85272,251511,ca3
85272,2710494,mich
85272,247456,ca10
85272,4892571,scotus
85272,1376909,cand
85272,244753,ca3
85272,1555953,ilnd
85272,215845,ca10
85272,1562853,ca4
85272,1505988,mad
85272,1507479,nj
85272,1870141,iowa
85272,1509473,casd
85272,2202269,vt
85272,1442894,pa
85272,2205239,conn
85272,1090436,lactapp
85272,4896628,washctapp
85272,3273142,ark
85272,1438234,mssd
85272,1564164,cadc
85272,1430815,txsd
85272,1444072,azd
85272,4898460,scotus
85272,1449006,wash
85272,1393540,orctapp
85272,1380456,ilnd
85272,2735164,ca10
85272,1506703,ca3
85272,1899363,tnmd
85272,1910257,vtb
85272,728768,ca6
85272,4894912,scotus
85272,3030685,ca9
85272,712076,ca8
85272,1910040,mab
85272,1027569,ca4
85272,1568943,ca4
85272,1568568,mdd
85272,1894344,mtd
85272,1038145,ca5
85272,211587,cafc
85272,2202769,dc
85272,705093,ca4
85272,1469038,dcd
85272,1572418,vtd
85272,1448011,or
85272,1580653,nd
85272,710093,ca9
85272,1374448,or
85272,1458930,mad
85272,274319,ca5
85272,2340666,mad
85272,1455964,ca6
85272,1905199,mdd
85272,1459473,dcd
85272,1464623,sdd
85272,2930,ca2
85272,1464652,vt
85272,1293024,nc
85272,738528,ca5
85272,1912070,msnb
85272,278735,ca6
85272,739342,ca9
85272,1463146,mad
85272,752434,ca3
85272,268698,cadc
85272,1584683,ohnd
85272,102861,scotus
85272,111503,scotus
85272,104697,scotus
85272,1934646,njsuperctappdiv
85272,102858,scotus
85272,1461048,paed
85272,111504,scotus
85272,727351,ca7
85272,102901,scotus
85272,101975,scotus
85272,106658,scotus
85272,1457833,txsd
85272,78422,ca11
85272,102038,scotus
