cited_cluster_id,citing_cluster_id,citing_court_id
85330,112427,scotus
85330,112291,scotus
85330,111441,scotus
85330,111949,scotus
85330,111949,scotus
85330,118316,scotus
85330,111758,scotus
85330,117905,scotus
85330,117880,scotus
85412,1218943,scotus
85412,866022,scotus
85412,1447641,scotus
85412,931122,scotus
85412,104652,scotus
85412,102847,scotus
85412,104663,scotus
85412,106739,scotus
85412,106618,scotus
85412,106729,scotus
85412,106821,scotus
85412,105829,scotus
85412,106041,scotus
85412,106401,scotus
85412,105230,scotus
85412,106307,scotus
85412,104966,scotus
85412,103319,scotus
85412,103287,scotus
85412,105732,scotus
85412,105217,scotus
85412,101802,scotus
85412,107115,scotus
85412,102224,scotus
85412,134745,scotus
85412,102963,scotus
85412,103017,scotus
85412,110477,scotus
85412,103037,scotus
85412,110485,scotus
85412,110516,scotus
85412,102580,scotus
85412,112429,scotus
85412,102636,scotus
85412,103187,scotus
85412,102605,scotus
85412,107734,scotus
85412,122254,scotus
85412,103227,scotus
85412,107731,scotus
85412,101580,scotus
85412,112698,scotus
85412,108326,scotus
85412,110578,scotus
85412,110643,scotus
85412,102807,scotus
85412,102065,scotus
85412,112636,scotus
85412,110673,scotus
85412,109811,scotus
85412,103107,scotus
85412,145777,scotus
85412,118363,scotus
85412,103122,scotus
85412,112291,scotus
85412,102094,scotus
85412,112534,scotus
85412,103133,scotus
85412,112747,scotus
85412,110718,scotus
85412,102727,scotus
85412,118379,scotus
85412,109662,scotus
85412,112341,scotus
85412,111212,scotus
85412,110068,scotus
85412,104009,scotus
85412,112803,scotus
85412,102460,scotus
85412,103990,scotus
85412,101684,scotus
85412,118396,scotus
85412,111941,scotus
85412,103362,scotus
85412,104060,scotus
85412,100926,scotus
85412,111769,scotus
85412,103367,scotus
85412,102512,scotus
85412,103413,scotus
85412,110880,scotus
85412,111091,scotus
85412,110881,scotus
85412,111949,scotus
85412,103716,scotus
85412,111437,scotus
85412,111412,scotus
85412,110427,scotus
85412,109578,scotus
85412,118346,scotus
85412,799995,scotus
85412,809122,scotus
85412,2421240,scotus
85412,2790213,scotus
85412,2801433,scotus
85412,2516349,scotus
85412,2676593,scotus
85412,4501697,scotus
85412,4509418,scotus
85412,802971,scotus
85412,4374567,scotus
85412,4632952,scotus
85412,111850,scotus
85412,109771,scotus
85412,110161,scotus
85412,106950,scotus
85412,106951,scotus
85412,110308,scotus
85412,118111,scotus
85412,121162,scotus
85412,117997,scotus
85412,118026,scotus
85412,117914,scotus
85412,117927,scotus
85412,149702,scotus
85412,182558,scotus
85412,145902,scotus
85412,1087607,scotus
85412,803267,scotus
85412,145739,scotus
85412,145809,scotus
85412,145862,scotus
85412,803270,scotus
85412,9398334,scotus
85412,9400078,scotus
85412,9401905,scotus
85412,9406660,scotus
85412,9409606,scotus
85412,9410341,scotus
85412,6619822,scotus
85412,9484375,scotus
85412,9485287,scotus
85412,10049695,scotus
85412,10049684,scotus
85412,10049661,scotus
85412,10049675,scotus
85412,109499,scotus
85412,110063,scotus
85412,109499,scotus
85412,103442,scotus
85412,108350,scotus
85412,112739,scotus
85412,109835,scotus
85412,110063,scotus
85412,108350,scotus
85412,109499,scotus
85412,109835,scotus
85412,110063,scotus
85412,112739,scotus
85412,7341869,scotus
85412,145777,scotus
85412,145862,scotus
85412,145902,scotus
85412,149702,scotus
85412,809122,scotus
85412,809122,scotus
85412,809122,scotus
85412,866022,scotus
85412,931122,scotus
85412,145809,scotus
85412,145809,scotus
85412,121162,scotus
85412,145739,scotus
85412,145739,scotus
85412,118396,scotus
85412,118379,scotus
85412,799995,scotus
85412,799995,scotus
85412,122254,scotus
85412,134745,scotus
85412,803270,scotus
85412,110516,scotus
85412,110516,scotus
85412,110718,scotus
85412,110643,scotus
85412,110880,scotus
85412,110308,scotus
85412,110881,scotus
85412,110881,scotus
85412,111091,scotus
85412,110485,scotus
85412,110578,scotus
85412,111769,scotus
85412,112429,scotus
85412,111941,scotus
85412,117914,scotus
85412,112803,scotus
85412,111949,scotus
85412,112341,scotus
85412,112291,scotus
85412,112534,scotus
85412,118111,scotus
85412,118111,scotus
85412,112636,scotus
85412,182558,scotus
85451,134736,scotus
85451,4766664,scotus
85451,4729478,scotus
85451,1446533,scotus
85451,102861,scotus
85451,111503,scotus
85451,104697,scotus
85451,104696,scotus
85451,104700,scotus
85451,106845,scotus
85451,106819,scotus
85451,105871,scotus
85451,105283,scotus
85451,105326,scotus
85451,106307,scotus
85451,101762,scotus
85451,105511,scotus
85451,102986,scotus
85451,110771,scotus
85451,112423,scotus
85451,110531,scotus
85451,103145,scotus
85451,107744,scotus
85451,102770,scotus
85451,108307,scotus
85451,103047,scotus
85451,102054,scotus
85451,102086,scotus
85451,102090,scotus
85451,112266,scotus
85451,112293,scotus
85451,102697,scotus
85451,102703,scotus
85451,110031,scotus
85451,112345,scotus
85451,103982,scotus
85451,112802,scotus
85451,101733,scotus
85451,109932,scotus
85451,108987,scotus
85451,110889,scotus
85451,110932,scotus
85451,111094,scotus
85451,111949,scotus
85451,109503,scotus
85451,111016,scotus
85451,110245,scotus
85451,110990,scotus
85451,118318,scotus
85451,2790213,scotus
85451,4487345,scotus
85451,4630267,scotus
85451,2764189,scotus
85451,3171724,scotus
85451,4510624,scotus
85451,3177217,scotus
85451,3177218,scotus
85451,4731814,scotus
85451,3203730,scotus
85451,4374578,scotus
85451,4630088,scotus
85451,112770,scotus
85451,111758,scotus
85451,118076,scotus
85451,118134,scotus
85451,108266,scotus
85451,107969,scotus
85451,117895,scotus
85451,118203,scotus
85451,117935,scotus
85451,145872,scotus
85451,1794340,scotus
85451,4510028,scotus
85451,820904,scotus
85451,4630268,scotus
85451,4641200,scotus
85451,9986254,scotus
85451,118011,scotus
85451,92059,scotus
85451,92059,scotus
85451,107464,scotus
85451,107464,scotus
85451,103761,scotus
85451,107464,scotus
85451,118011,scotus
85451,9231105,scotus
85451,4766664,scotus
85451,4630267,scotus
85451,8176275,scotus
85451,9032937,scotus
85451,110245,scotus
85451,110771,scotus
85451,110889,scotus
85451,111094,scotus
85451,111094,scotus
85451,111503,scotus
85451,112266,scotus
85451,112293,scotus
85451,112802,scotus
85451,112293,scotus
85451,112770,scotus
85451,112770,scotus
85451,111949,scotus
85451,111949,scotus
85451,118318,scotus
85451,111758,scotus
85451,111758,scotus
85451,112423,scotus
85451,111016,scotus
85451,112345,scotus
85451,118134,scotus
85451,117895,scotus
85451,118134,scotus
85451,118134,scotus
85451,118203,scotus
85534,1087772,scotus
85534,102861,scotus
85534,102029,scotus
85534,106835,scotus
85534,105833,scotus
85534,106481,scotus
85534,103287,scotus
85534,101872,scotus
85534,102253,scotus
85534,102963,scotus
85534,102402,scotus
85534,102405,scotus
85534,103164,scotus
85534,102588,scotus
85534,107901,scotus
85534,101632,scotus
85534,102065,scotus
85534,103122,scotus
85534,102098,scotus
85534,111153,scotus
85534,104009,scotus
85534,101684,scotus
85534,110137,scotus
85534,104119,scotus
85534,109044,scotus
85534,2421240,scotus
85534,4632952,scotus
85534,95339,scotus
85534,93324,scotus
85534,96196,scotus
85534,92758,scotus
85534,95765,scotus
85534,95365,scotus
85534,92767,scotus
85534,91551,scotus
85534,91559,scotus
85534,96232,scotus
85534,99884,scotus
85534,91566,scotus
85534,87885,scotus
85534,95785,scotus
85534,97134,scotus
85534,95790,scotus
85534,91716,scotus
85534,104859,scotus
85534,94079,scotus
85534,90046,scotus
85534,86808,scotus
85534,95538,scotus
85534,92203,scotus
85534,91735,scotus
85534,93898,scotus
85534,90078,scotus
85534,104869,scotus
85534,92223,scotus
85534,89268,scotus
85534,91413,scotus
85534,87748,scotus
85534,89506,scotus
85534,95471,scotus
85534,86014,scotus
85534,98408,scotus
85534,89765,scotus
85534,98521,scotus
85534,86480,scotus
85534,89725,scotus
85534,105847,scotus
85534,91985,scotus
85534,97835,scotus
85534,88075,scotus
85534,86540,scotus
85534,94239,scotus
85534,104834,scotus
85534,94174,scotus
85534,104171,scotus
85534,118111,scotus
85534,101220,scotus
85534,88607,scotus
85534,89142,scotus
85534,97150,scotus
85534,101444,scotus
85534,97363,scotus
85534,94416,scotus
85534,87379,scotus
85534,93112,scotus
85534,100245,scotus
85534,99176,scotus
85534,97378,scotus
85534,86429,scotus
85534,93127,scotus
85534,89946,scotus
85534,88429,scotus
85534,95284,scotus
85534,101481,scotus
85534,95319,scotus
85534,95884,scotus
85534,91178,scotus
85534,94918,scotus
85534,91869,scotus
85534,117855,scotus
85534,94933,scotus
85534,90741,scotus
85534,96751,scotus
85534,93507,scotus
85534,98232,scotus
85534,94872,scotus
85534,94873,scotus
85534,90600,scotus
85534,94894,scotus
85534,99541,scotus
85534,118038,scotus
85534,104328,scotus
85534,104307,scotus
85534,117914,scotus
85534,95118,scotus
85534,86231,scotus
85534,94940,scotus
85534,117927,scotus
85534,95030,scotus
85534,96569,scotus
85534,96033,scotus
85534,95959,scotus
85534,95999,scotus
85534,96009,scotus
85534,95012,scotus
85534,102665,scotus
85534,1087607,scotus
85534,9398334,scotus
85534,9400078,scotus
85534,9409606,scotus
85534,9410341,scotus
85534,6619822,scotus
85534,10049695,scotus
85534,10049661,scotus
85534,92291,scotus
85534,101750,scotus
85534,103831,scotus
85534,112739,scotus
85534,109344,scotus
85534,109835,scotus
85534,109344,scotus
85534,109835,scotus
85534,103831,scotus
85534,112739,scotus
85534,117914,scotus
85534,118111,scotus
85777,122254,scotus
85777,109288,scotus
85777,103354,scotus
85777,104522,scotus
85777,2771248,scotus
